,train_times,R2s,avg_losses
0,0.7263256700000511,0.040939985980337434,18.224540984991826
1,0.6526856639999323,0.12105888853412572,12.919172055793531
2,0.6506408510000483,0.18428491912404954,11.364741238680752
3,0.645659071999944,0.22923076530990405,10.396902922428016
4,0.6738442839999834,0.2701484751894976,9.601375941074256
5,0.6545135979999941,0.3045347768392924,9.010749152212432
6,0.6927495639999961,0.3315860817326305,8.574514497410167
7,0.6535720360000141,0.35328964055065537,8.245341604406184
8,0.6484658470000113,0.37062306127540734,8.000197598428437
9,0.6506941330000018,0.38522125585799405,7.813814300479311
10,0.6798402570000235,0.39770741224054307,7.6752197164477725
11,0.6538525820000132,0.4081333582555313,7.577743963761763
12,0.6778046020000374,0.4168746723230641,7.514300151304766
13,0.6669073170000956,0.4243396504087342,7.479280016639016
14,0.6864859990000696,0.4305137452990784,7.467218821698969
15,0.6968849690000525,0.43539159456691745,7.475299726832997
16,0.6560175019999406,0.4396188840871056,7.5019176295309355
17,0.6616651900000079,0.44295733432906415,7.543685833613078
18,0.6627887529999725,0.4455223494601329,7.595139561277447
19,0.6582925239999895,0.44761516356823916,7.659364996534405
20,0.6542145969999638,0.4490063811369549,7.730280045307044
21,0.6653777930000615,0.4499820201541028,7.809191580974694
22,0.6709373720000258,0.4503160145710644,7.8929512573011
23,0.6738366580000275,0.450433933103608,7.980438579212535
24,0.6897268330000088,0.4501038288254212,8.06990993384159
25,0.6803908550000415,0.4498730446460826,8.16302321173928
26,0.6589006429999245,,
27,0.6567194470000004,,
28,0.667624055000033,,
29,0.7110086489999503,,
30,0.668105708999974,,
31,0.6762096180000299,,
32,0.685083566000003,,
33,0.6847317350000139,,
34,0.6876738830000022,,
35,0.6615469969999594,,
36,0.6438527039999826,,
37,0.6539133509999147,,
38,0.6448915839999927,,
39,0.6613459799999646,,
40,0.6782050249998974,,
41,0.6768782980000196,,
42,0.6789056879999862,,
43,0.6945580240000027,,
44,0.6722526199999947,,
45,0.6679984380000406,,
46,0.6597107240000923,,
47,0.660374786000034,,
48,0.6601564300000291,,
49,0.6513141540000333,,
50,0.6520510310000418,,
51,0.6765005739999879,,
